Sector,Symbol,Company Name
Finance,ACGL-Q,Arch Capital Grp Ltd
Finance,AFL-N,Aflac Inc
Finance,AIG-N,American International Group
Finance,AIZ-N,Assurant Inc
Finance,AJG-N,Arthur J. Gallagher & Company
Finance,ALL-N,Allstate Corp
Finance,AMP-N,Ameriprise Financial Services
Finance,AON-N,AON Plc
Finance,AXP-N,American Express Company
Finance,BAC-N,Bank of America Corp
Finance,BEN-N,Franklin Resources
Finance,BK-N,Bank of New York Mellon Corp
Finance,BLK-N,Blackrock Inc
Finance,BRK-B-N,Berkshire Hathaway Cl B
Finance,BRO-N,Brown & Brown
Finance,C-N,Citigroup Inc
Finance,CB-N,Chubb Ltd
Finance,CBOE-A,CBOE Global Markets Inc
Finance,CFG-N,Citizens Financial Group Inc/Ri
Finance,CINF-Q,Cincinnati Financial
Finance,CMA-N,Comerica Inc
Finance,CME-Q,CME Group Inc
Finance,COF-N,Capital One Financial Corp
Finance,DFS-N,Discover Financial Services
Finance,FDS-N,Factset Research Systems Inc
Finance,FITB-Q,Fifth Third Bancorp
Finance,FRC-N,First Republic Bank
Finance,GL-N,Globe Life Inc
Finance,GS-N,Goldman Sachs Group
Finance,HBAN-Q,Huntington Bcshs
Finance,HIG-N,Hartford Financial Services Group
Finance,ICE-N,Intercontinental Exchange
Finance,IVZ-N,Invesco Plc
Finance,JPM-N,JP Morgan Chase & Company
Finance,KEY-N,Keycorp
Finance,L-N,Loews Corp
Finance,LNC-N,Lincoln National Corp
Finance,MCO-N,Moody's Corp
Finance,MET-N,Metlife Inc
Finance,MKTX-Q,Marketaxess Holdings
Finance,MMC-N,Marsh & Mclennan Companies
Finance,MS-N,Morgan Stanley
Finance,MSCI-N,MSCI Inc
Finance,MTB-N,M&T Bank Corp
Finance,NDAQ-Q,Nasdaq Inc
Finance,NTRS-Q,Northern Trust Corp
Finance,PFG-Q,Principal Financial Group Inc
Finance,PGR-N,Progressive Corp
Finance,PNC-N,PNC Bank
Finance,PRU-N,Prudential Financial Inc
Finance,RE-N,Everest Re Group
Finance,RF-N,Regions Financial Corp
Finance,RJF-N,Raymond James Financial
Finance,SCHW-N,The Charles Schwab Corp
