Finance,,Consumer Staples,,Communication Services,,Consumer Discretionary,,Energy,,Health Care,,Industrial,,Materials,,Real Estate,,Tech,,Utilities,
ACGL-Q,Arch Capital Grp Ltd,ADM,Archer Daniels Midland,ATVI-Q,Activision Blizzard,AAP-N,Advance Auto Parts Inc,APA-Q,Apa Corp,A-N,Agilent Technologies,AAL-Q,American Airlines Gp,ALB-N,Albemarle Corp,AMT,American Tower Corp,ACN-N,Accenture Plc,AEE-N,Ameren Corp
AFL-N,Aflac Inc,BF.B,Brown Forman Inc Cl B,CHTR-Q,Charter Communications Inc,AMZN-Q,Amazon.com Inc,BKR-Q,Baker Hughes Company,ABBV-N,Abbvie Inc,ALK-N,Alaska Air Group,AMCR-N,Amcor Plc,ARE,Alexandria Real Estate Equities,ADBE-Q,Adobe Systems Inc,AEP-Q,American Electric Power Company
AIG-N,American International Group,CAG,Conagra Brands Inc,CMCSA-Q,Comcast Corp A,APTV-N,Aptiv Plc,COP-N,Conocophillips,ABC-N,Amerisourcebergen Corp,ALLE-N,Allegion Plc,APD-N,Air Products and Chemicals,AVB,Avalonbay Communities,AMD-Q,Adv Micro Devices,AES-N,The Aes Corp
AIZ-N,Assurant Inc,CHD,Church &amp; Dwight Company,DIS-N,Walt Disney Company,AZO-N,Autozone,CTRA-N,Coterra Energy Inc,ABT-N,Abbott Laboratories,AME-N,Ametek Inc,AVY-N,Avery Dennison Corp,BXP,Boston Properties,AKAM-Q,Akamai Technologies,ATO-N,Atmos Energy Corp
AJG-N,Arthur J. Gallagher &amp; Company,CL,Colgate-Palmolive Company,DISH-Q,Dish Network Corp,BBWI-N,Bath &amp; Body Works Inc,CVX-N,Chevron Corp,ALGN-Q,Align Technology,AOS-N,Smith A.O. Corp,BALL-N,Ball Corporation,CBRE,CBRE Group Inc,APH-N,Amphenol Corp,AWK-N,American Water Works
ALL-N,Allstate Corp,CLX,Clorox Company,EA-Q,Electronic Arts Inc,BBY-N,Best Buy Company,DVN-N,Devon Energy Corp,AMGN-Q,Amgen Inc,BA-N,Boeing Company,CE-N,Celanese Corp,CCI,Crown Castle Inc,ADI-Q,Analog Devices,CEG-Q,Constellation Energy Corp
AMP-N,Ameriprise Financial Services,COST,Costco Wholesale,FOX-Q,Fox Corp Cl B,BKNG-Q,Booking Holdings Inc,EOG-N,Eog Resources,BAX-N,Baxter International Inc,CARR-N,Carrier Global Corp,CF-N,Cf Industries Holdings,CPT,Camden Property Trust,ANSS-Q,Ansys Inc,CMS-N,Cms Energy Corp
AON-N,AON Plc,CPB,Campbell Soup Company,FOXA-Q,Fox Corp Cl A,BWA-N,Borgwarner Inc,EQT-N,Eqt Corp,BDX-N,Becton Dickinson and Company,CAT-N,Caterpillar Inc,CTVA-N,Corteva Inc,DLR,Digital Realty Trust,AAPL-Q,Apple Inc,CNP-N,Centerpoint Energy Inc
AXP-N,American Express Company,EL,Estee Lauder Companies,GOOG-Q,Alphabet Cl C,CCL-N,Carnival Corp,FANG-Q,Diamondback Energy,BIIB-Q,Biogen Inc,CHRW-Q,C.H. Robinson Ww,DD-N,Dupont Denemours Inc,EQIX,Equinix Inc,AMAT-Q,Applied Materials,D-N,Dominion Resources
BAC-N,Bank of America Corp,GIS,General Mills,GOOGL-Q,Alphabet Cl A,CMG-N,Chipotle Mexican Grill,HAL-N,Halliburton Company,BIO-N,Bio-Rad Laboratories,CMI-N,Cummins Inc,DOW-N,Dow Inc,EQR,Equity Residential,ANET-N,Arista Networks Inc,DTE-N,Dte Energy Company
BEN-N,Franklin Resources,HRL,Hormel Foods Corp,IPG-N,Interpublic Group of Companies,CZR-Q,Caesars Entertainment Inc,HES-N,Hess Corp,BMY-N,Bristol-Myers Squibb Company,CPRT-Q,Copart Inc,ECL-N,Ecolab Inc,ESS,Essex Property Trust,ADSK-Q,Autodesk Inc,DUK-N,Duke Energy Corp
BK-N,Bank of New York Mellon Corp,HSY,Hershey Foods Corp,LUMN-N,Lumen Technologies Inc,DG-N,Dollar General Corp,KMI-N,Kinder Morgan,BSX-N,Boston Scientific Corp,CSGP-Q,Costar Group Inc,EMN-N,Eastman Chemical Company,EXR,Extra Space Storage Inc,ADP-Q,Automatic Data Procs,ED-N,Consolidated Edison Company
BLK-N,Blackrock Inc,K,Kellogg Company,LYV-N,Live Nation Entertainment,DHI-N,D.R. Horton,MPC-N,Marathon Petroleum Corp,CAH-N,Cardinal Health,CSX-Q,CSX Corp,FCX-N,Freeport-Mcmoran Inc,FRT,Federal Realty Investment Trust,AVGO-Q,Broadcom Ltd,EIX-N,Edison International
